district,subway,school,per_price
宝安,1,1,4.1777
宝安,1,1,6.1941
宝安,1,1,6.3386
宝安,0,1,2.2789
宝安,1,1,3.7875
宝安,0,0,3.2471
宝安,1,1,5.3366
宝安,1,0,2.909
宝安,1,0,2.4157
宝安,0,0,4.2649
宝安,1,0,6.7536
宝安,1,1,8.09
宝安,1,0,7.6137
宝安,0,0,8.2408
宝安,0,0,5.339
宝安,1,0,7.5161
宝安,1,1,3.3368
宝安,0,0,3.075
宝安,1,1,6.1557
宝安,1,0,11.5121
宝安,1,0,3.4691
宝安,0,0,1.875
宝安,1,0,4.6198
宝安,0,0,2.5599
宝安,1,0,4.7079
宝安,1,0,3.625
宝安,1,0,4.6846
宝安,1,0,5.1026
宝安,1,0,3.3677
宝安,1,1,8.3333
宝安,1,1,3.7998
宝安,1,1,7.6131
宝安,1,1,8.4925
宝安,1,0,6.3559
宝安,1,1,7.0912
宝安,1,0,4.4038
宝安,1,0,5.9954
宝安,1,0,5.4595
宝安,1,1,4.9026
宝安,1,1,6.9416
宝安,1,1,8.1276
宝安,1,1,5.6041
宝安,0,0,2.9729
宝安,1,0,2.6169
宝安,1,1,11.9106
宝安,1,1,4.2425
宝安,1,0,5.2702
宝安,1,0,7.7856
宝安,1,1,10.2705
宝安,0,0,7.4851
宝安,1,0,8.6206
宝安,0,0,4.7948
宝安,0,1,6.6361
宝安,1,0,3.9138
宝安,1,0,4.2863
宝安,1,0,11.2374
宝安,0,0,7.4423
宝安,1,1,8.7085
宝安,1,1,6.1924
宝安,1,0,2.9651
宝安,1,1,5.3533
宝安,1,1,2.6052
宝安,1,0,7.2898
宝安,1,1,3.977
宝安,1,1,4.9498
宝安,0,1,3.4647
宝安,0,0,5.3157
宝安,1,1,8.8695
宝安,1,0,1.7923
宝安,1,1,8.716
宝安,1,0,8.5091
宝安,1,0,3.9259
宝安,1,0,10.4299
宝安,1,0,3.0833
宝安,1,0,8.4122
宝安,1,0,6.7236
宝安,0,0,6.6326
宝安,0,0,1.1178
宝安,1,0,4.2445
宝安,1,1,7.2355
宝安,0,1,5.4914
宝安,1,0,5.2586
宝安,1,1,11.3082
宝安,1,0,3.3124
宝安,1,1,2.3159
宝安,1,0,5.2513
宝安,1,0,2.3702
宝安,1,1,6.9608
宝安,1,0,8.8549
宝安,1,1,7.6273
宝安,1,1,4.9547
宝安,1,1,8.2352
宝安,1,0,4.768
宝安,1,1,7.2375
宝安,1,0,2.9081
宝安,1,0,12.4314
宝安,0,0,3.1505
