district,roomnum,hall,AREA,C_floor,school,subway,per_price,total_price,source_file,is_near_subway
宝安,3,2,72.0,middle,0,1,1.4861,107.0,sz_baoan_2025.xlsx,1
宝安,3,2,91.88,low,1,1,4.8976,450.0,sz_baoan_2025.xlsx,1
宝安,3,2,88.4,middle,0,1,7.0135,620.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.73,low,0,1,9.4728,850.0,sz_baoan_2025.xlsx,1
宝安,2,2,66.0,middle,0,0,1.1363,75.0,sz_baoan_2025.xlsx,0
宝安,3,2,73.0,middle,0,0,1.2328,90.0,sz_baoan_2025.xlsx,0
宝安,3,2,72.0,middle,0,1,1.3472,97.0,sz_baoan_2025.xlsx,1
宝安,5,1,239.23,low,0,1,9.9485,2380.0,sz_baoan_2025.xlsx,1
宝安,3,2,79.0,middle,0,1,1.2151,96.0,sz_baoan_2025.xlsx,1
宝安,3,2,69.0,low,0,0,1.2753,88.0,sz_baoan_2025.xlsx,0
宝安,3,2,63.0,middle,1,1,1.4603,92.0,sz_baoan_2025.xlsx,1
宝安,3,2,70.55,middle,0,0,1.4457,102.0,sz_baoan_2025.xlsx,0
宝安,3,2,100.0,middle,0,0,0.8,80.0,sz_baoan_2025.xlsx,0
宝安,3,2,87.32,middle,0,1,0.8016,70.0,sz_baoan_2025.xlsx,1
宝安,3,2,80.55,middle,0,0,1.3035,105.0,sz_baoan_2025.xlsx,0
宝安,3,2,76.0,high,0,0,1.2894,98.0,sz_baoan_2025.xlsx,0
宝安,3,2,80.55,middle,0,0,1.2414,100.0,sz_baoan_2025.xlsx,0
宝安,2,2,66.0,middle,0,0,1.0303,68.0,sz_baoan_2025.xlsx,0
宝安,2,2,30.22,middle,0,0,2.1508,65.0,sz_baoan_2025.xlsx,0
宝安,3,2,80.22,low,0,0,1.4335,115.0,sz_baoan_2025.xlsx,0
宝安,3,2,88.0,middle,0,0,0.75,66.0,sz_baoan_2025.xlsx,0
宝安,3,2,75.0,middle,0,0,1.36,102.0,sz_baoan_2025.xlsx,0
宝安,3,2,88.0,low,0,0,1.0,88.0,sz_baoan_2025.xlsx,0
宝安,3,2,87.32,middle,0,1,0.7443,65.0,sz_baoan_2025.xlsx,1
宝安,9,5,355.84,low,1,1,11.241,4000.0,sz_baoan_2025.xlsx,1
宝安,3,2,72.0,middle,0,0,1.25,90.0,sz_baoan_2025.xlsx,0
